"id","user_hash","time","old_status","old_is_on_mobile","old_activity","new_status","new_is_on_mobile","new_activity"
2559,Heron,2025-10-26 15:58:45.497 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2558,Heron,2025-10-26 15:58:40.445 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2557,Heron,2025-10-26 15:57:26.649 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2556,Heron,2025-10-26 15:57:22.603 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2555,Heron,2025-10-26 15:57:21.605 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2554,Heron,2025-10-26 15:57:21.598 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2553,Fish,2025-10-26 15:57:10.019 +0100,online,false,Spotify,online,false,Spotify
2552,Greyhound,2025-10-26 15:56:10.989 +0100,idle,false,,online,false,
2551,Greyhound,2025-10-26 15:55:37.243 +0100,offline,false,,idle,false,
2550,Fish,2025-10-26 15:53:33.311 +0100,online,false,,online,false,Spotify
2549,Fish,2025-10-26 15:53:31.190 +0100,offline,false,,online,false,
2548,Coyote,2025-10-26 15:50:44.741 +0100,idle,true,Strawberry Tasty!,idle,false,Strawberry Tasty!
2547,Mantis,2025-10-26 15:49:48.566 +0100,online,true,,online,false,
2546,Coyote,2025-10-26 15:48:26.361 +0100,online,true,Strawberry Tasty!,idle,true,Strawberry Tasty!
2545,Coyote,2025-10-26 15:47:49.146 +0100,online,true,Strawberry Tasty!,online,true,Strawberry Tasty!
2544,Mantis,2025-10-26 15:47:48.267 +0100,online,false,,online,true,
2543,Coyote,2025-10-26 15:47:46.904 +0100,idle,false,Strawberry Tasty!,online,true,Strawberry Tasty!
2542,Mantis,2025-10-26 15:47:45.032 +0100,online,true,,online,false,
2541,Heron,2025-10-26 15:47:06.941 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2540,Heron,2025-10-26 15:46:53.050 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
2539,Heron,2025-10-26 15:46:12.352 +0100,online,false,Valorant Tracker App,online,false,Valorant Tracker App
